id,name,default_code,barcode,type,is_storable,categ_id/id,uom_id/id,list_price,standard_price,sale_ok,purchase_ok,seller_ids/partner_id/id,seller_ids/price,seller_ids/delay,seller_ids/min_qty,weight,description_sale
andina.prod_001,Conserva de Aguaymanto en almíbar 200 g,CON-AGU-200g,7750000000014,consu,True,andina.categ_conservas,uom.product_uom_unit,7.75,4.22,True,False,,,,,0.28,"Conserva de aguaymanto en almíbar, presentación 200 g."
andina.prod_002,Conserva de Aguaymanto en almíbar 400 g,CON-AGU-400g,7750000000021,consu,True,andina.categ_conservas,uom.product_uom_unit,12.50,6.80,True,False,,,,,0.52,"Conserva de aguaymanto en almíbar, presentación 400 g."
andina.prod_003,Conserva de Aguaymanto en almíbar 1 kg,CON-AGU-1kg,7750000000038,consu,True,andina.categ_conservas,uom.product_uom_unit,26.88,14.62,True,False,,,,,1.18,"Conserva de aguaymanto en almíbar, presentación 1 kg."
andina.prod_004,Conserva de Sauco en almíbar 200 g,CON-SAU-200g,7750000000045,consu,True,andina.categ_conservas,uom.product_uom_unit,8.14,4.43,True,False,,,,,0.28,"Conserva de sauco en almíbar, presentación 200 g."
andina.prod_005,Conserva de Sauco en almíbar 400 g,CON-SAU-400g,7750000000052,consu,True,andina.categ_conservas,uom.product_uom_unit,13.12,7.14,True,False,,,,,0.52,"Conserva de sauco en almíbar, presentación 400 g."
andina.prod_006,Conserva de Sauco en almíbar 1 kg,CON-SAU-1kg,7750000000069,consu,True,andina.categ_conservas,uom.product_uom_unit,28.22,15.35,True,False,,,,,1.18,"Conserva de sauco en almíbar, presentación 1 kg."
andina.prod_007,Conserva de Tuna en almíbar 200 g,CON-TUN-200g,7750000000076,consu,True,andina.categ_conservas,uom.product_uom_unit,7.36,4.01,True,False,,,,,0.28,"Conserva de tuna en almíbar, presentación 200 g."
andina.prod_008,Conserva de Tuna en almíbar 400 g,CON-TUN-400g,7750000000083,consu,True,andina.categ_conservas,uom.product_uom_unit,11.88,6.46,True,False,,,,,0.52,"Conserva de tuna en almíbar, presentación 400 g."
andina.prod_009,Conserva de Tuna en almíbar 1 kg,CON-TUN-1kg,7750000000090,consu,True,andina.categ_conservas,uom.product_uom_unit,25.53,13.89,True,False,,,,,1.18,"Conserva de tuna en almíbar, presentación 1 kg."
andina.prod_010,Conserva de Piña Andina en almíbar 200 g,CON-PIÑ-200g,7750000000106,consu,True,andina.categ_conservas,uom.product_uom_unit,6.97,3.79,True,False,,,,,0.28,"Conserva de piña andina en almíbar, presentación 200 g."
andina.prod_011,Conserva de Piña Andina en almíbar 400 g,CON-PIÑ-400g,7750000000113,consu,True,andina.categ_conservas,uom.product_uom_unit,11.25,6.12,True,False,,,,,0.52,"Conserva de piña andina en almíbar, presentación 400 g."
andina.prod_012,Conserva de Piña Andina en almíbar 1 kg,CON-PIÑ-1kg,7750000000120,consu,True,andina.categ_conservas,uom.product_uom_unit,24.19,13.16,True,False,,,,,1.18,"Conserva de piña andina en almíbar, presentación 1 kg."
andina.prod_013,Mermelada de Aguaymanto 250 g,MER-AGU-250,7750000000137,consu,True,andina.categ_conservas,uom.product_uom_unit,9.90,4.60,True,False,,,,,0.34,
andina.prod_014,Mermelada de Sauco 250 g,MER-SAU-250,7750000000144,consu,True,andina.categ_conservas,uom.product_uom_unit,9.90,4.60,True,False,,,,,0.34,
andina.prod_015,Mermelada de Aguaymanto con Kiwicha 250 g,MER-AGU-250,7750000000151,consu,True,andina.categ_conservas,uom.product_uom_unit,9.90,4.60,True,False,,,,,0.34,
andina.prod_016,Snack de Quinua Horneada 50 g,SNK-QUI-50g,7750000000168,consu,True,andina.categ_snacks,uom.product_uom_unit,4.50,2.10,True,False,,,,,0.06,
andina.prod_017,Snack de Quinua Horneada 100 g,SNK-QUI-100g,7750000000175,consu,True,andina.categ_snacks,uom.product_uom_unit,7.88,3.68,True,False,,,,,0.06,
andina.prod_018,Snack de Quinua Horneada 200 g,SNK-QUI-200g,7750000000182,consu,True,andina.categ_snacks,uom.product_uom_unit,14.40,6.72,True,False,,,,,0.06,
andina.prod_019,Snack de Kiwicha Tostada 50 g,SNK-KIW-50g,7750000000199,consu,True,andina.categ_snacks,uom.product_uom_unit,4.20,1.95,True,False,,,,,0.06,
andina.prod_020,Snack de Kiwicha Tostada 100 g,SNK-KIW-100g,7750000000205,consu,True,andina.categ_snacks,uom.product_uom_unit,7.35,3.41,True,False,,,,,0.06,
andina.prod_021,Snack de Kiwicha Tostada 200 g,SNK-KIW-200g,7750000000212,consu,True,andina.categ_snacks,uom.product_uom_unit,13.44,6.24,True,False,,,,,0.06,
andina.prod_022,Chips de Camote 50 g,SNK-CAM-50g,7750000000229,consu,True,andina.categ_snacks,uom.product_uom_unit,5.10,2.35,True,False,,,,,0.06,
andina.prod_023,Chips de Camote 100 g,SNK-CAM-100g,7750000000236,consu,True,andina.categ_snacks,uom.product_uom_unit,8.92,4.11,True,False,,,,,0.06,
andina.prod_024,Chips de Camote 200 g,SNK-CAM-200g,7750000000243,consu,True,andina.categ_snacks,uom.product_uom_unit,16.32,7.52,True,False,,,,,0.06,
andina.prod_025,Chips de Plátano Andino 50 g,SNK-PLÁ-50g,7750000000250,consu,True,andina.categ_snacks,uom.product_uom_unit,4.80,2.20,True,False,,,,,0.06,
andina.prod_026,Chips de Plátano Andino 100 g,SNK-PLÁ-100g,7750000000267,consu,True,andina.categ_snacks,uom.product_uom_unit,8.40,3.85,True,False,,,,,0.06,
andina.prod_027,Chips de Plátano Andino 200 g,SNK-PLÁ-200g,7750000000274,consu,True,andina.categ_snacks,uom.product_uom_unit,15.36,7.04,True,False,,,,,0.06,
andina.prod_028,Barra de Kiwicha con Miel 35 g,BAR-KIW,7750000000281,consu,True,andina.categ_snacks,uom.product_uom_unit,3.20,1.40,True,False,,,,,0.04,
andina.prod_029,Barra de Quinua y Aguaymanto 35 g,BAR-QUI,7750000000298,consu,True,andina.categ_snacks,uom.product_uom_unit,3.50,1.55,True,False,,,,,0.04,
andina.prod_030,Barra Energética Andina 45 g,BAR-AND,7750000000304,consu,True,andina.categ_snacks,uom.product_uom_unit,4.10,1.85,True,False,,,,,0.04,
andina.prod_031,Harina de Quinua 250 g,HAR-QUI-250g,7750000000311,consu,True,andina.categ_harinas,uom.product_uom_unit,6.67,3.60,True,False,,,,,0.52,
andina.prod_032,Harina de Quinua 500 g,HAR-QUI-500g,7750000000328,consu,True,andina.categ_harinas,uom.product_uom_unit,11.50,6.20,True,False,,,,,0.52,
andina.prod_033,Harina de Quinua 1 kg,HAR-QUI-1kg,7750000000335,consu,True,andina.categ_harinas,uom.product_uom_unit,21.85,11.78,True,False,,,,,0.52,
