id,name,product_id/id,expiration_date
andina.lot_001,LT-AGU200-20260314,andina.var_001,2028-03-13 23:59:59
andina.lot_002,LT-AGU200-20260522,andina.var_001,2028-05-21 23:59:59
andina.lot_003,LT-AGU200-20260708,andina.var_001,2028-07-07 23:59:59
andina.lot_004,LT-AGU400-20260211,andina.var_002,2028-02-10 23:59:59
andina.lot_005,LT-AGU400-20260419,andina.var_002,2028-04-18 23:59:59
andina.lot_006,LT-AGU400-20260627,andina.var_002,2028-06-26 23:59:59
andina.lot_007,LT-AGU400-20260805,andina.var_002,2028-08-04 23:59:59
andina.lot_008,LT-SAU400-20260402,andina.var_005,2028-04-01 23:59:59
andina.lot_009,LT-SAU400-20260615,andina.var_005,2028-06-14 23:59:59
andina.lot_010,LT-MER250-20260509,andina.var_013,2027-11-05 23:59:59
andina.lot_011,LT-MER250-20260721,andina.var_013,2028-01-17 23:59:59
andina.lot_012,LT-NEC300-20260603,andina.var_043,2027-06-03 23:59:59
andina.lot_013,LT-NEC300-20260812,andina.var_043,2027-08-12 23:59:59
andina.lot_014,LT-MIEL-20260120,andina.var_054,2029-01-19 23:59:59
