id,is_published,website_sequence,public_categ_ids/id
andina.prod_001,True,10,andina.pubcat_aguaymanto
andina.prod_002,True,20,andina.pubcat_aguaymanto
andina.prod_003,True,30,andina.pubcat_aguaymanto
andina.prod_004,True,40,andina.pubcat_conservas
andina.prod_005,True,50,andina.pubcat_conservas
andina.prod_013,True,60,andina.pubcat_aguaymanto
andina.prod_014,True,70,andina.pubcat_conservas
andina.prod_015,True,80,andina.pubcat_conservas
andina.prod_016,True,90,andina.pubcat_snacks
andina.prod_017,True,100,andina.pubcat_snacks
andina.prod_019,True,110,andina.pubcat_snacks
andina.prod_022,True,120,andina.pubcat_snacks
andina.prod_028,True,130,andina.pubcat_sinazucar
andina.prod_030,True,140,andina.pubcat_sinazucar
andina.prod_032,True,150,andina.pubcat_harinas
andina.prod_037,True,160,andina.pubcat_harinas
andina.prod_039,True,170,andina.pubcat_harinas
andina.prod_043,True,180,andina.pubcat_bebidas
andina.prod_044,True,190,andina.pubcat_bebidas
andina.prod_047,True,200,andina.pubcat_bebidas
